tree,genotype,block,year,coppice_year,coppice_number,height,d20,d50,dbh,cop_id
BESC-2-1,BESC-2,1,2010,0,0,209.7024,NA,NA,NA,1
BESC-2-1,BESC-2,1,2011,0,0,501.396,6.4,5.9,NA,1
BESC-2-1,BESC-2,1,2012,1,0,NA,NA,NA,1.580642,1
BESC-2-1,BESC-2,1,2013,0,1,310,2.8000000000000003,NA,NA,1
BESC-2-1,BESC-2,1,2014,0,1,NA,NA,NA,6.4,1
BESC-2-1,BESC-2,1,2015,0,1,1020,NA,NA,9.8,1
BESC-2-1,BESC-2,1,2016,0,1,NA,NA,NA,14.8,1
BESC-2-1,BESC-2,1,2018,0,1,NA,NA,NA,19.5,1
BESC-2-1,BESC-2,1,2019,0,1,NA,NA,NA,21.6,1
BESC-265-1,BESC-265,1,2010,0,0,351.12960000000004,NA,NA,NA,0
BESC-265-1,BESC-265,1,2011,0,0,648.6144,10.7,8.700000000000001,NA,0
BESC-265-1,BESC-265,1,2012,0,0,920,NA,NA,11.9,0
BESC-265-1,BESC-265,1,2013,0,0,1210,NA,NA,14.6,0
BESC-265-1,BESC-265,1,2014,0,0,NA,NA,NA,16.900000000000002,0
BESC-265-1,BESC-265,1,2015,0,0,NA,NA,NA,18.6,0
BESC-265-1,BESC-265,1,2016,0,0,NA,NA,NA,21.6,0
BESC-265-1,BESC-265,1,2018,0,0,NA,NA,NA,24.3,0
BESC-265-1,BESC-265,1,2019,0,0,NA,NA,NA,24.8,0
BESC-319-1,BESC-319,1,2010,0,0,180.7464,NA,NA,NA,1
BESC-319-1,BESC-319,1,2011,0,0,363.3216,5,3.3000000000000003,NA,1
BESC-319-1,BESC-319,1,2012,1,0,655,NA,NA,5.461,1
BESC-319-1,BESC-319,1,2013,0,1,340,3.4000000000000004,NA,NA,1
BESC-319-1,BESC-319,1,2014,0,1,NA,NA,NA,5.4,1
BESC-319-1,BESC-319,1,2015,0,1,1020,NA,NA,8,1
BESC-319-1,BESC-319,1,2016,0,1,NA,NA,NA,14,1
BESC-319-1,BESC-319,1,2018,0,1,NA,NA,NA,19.8,1
BESC-319-1,BESC-319,1,2019,0,1,NA,NA,NA,21,1
BESC-35-1,BESC-35,1,2010,0,0,249.32640000000004,NA,NA,NA,1
BESC-35-1,BESC-35,1,2011,0,0,643.128,7.5,6.7,NA,1
BESC-35-1,BESC-35,1,2012,1,0,850,NA,NA,7.747,1
BESC-35-1,BESC-35,1,2013,0,1,360,3.3000000000000003,NA,NA,1
BESC-35-1,BESC-35,1,2014,0,1,NA,NA,NA,5.5,1
BESC-35-1,BESC-35,1,2015,0,1,990,NA,NA,8.8,1
BESC-35-1,BESC-35,1,2016,0,1,NA,NA,NA,13.6,1
BESC-35-1,BESC-35,1,2018,0,1,NA,NA,NA,19.200000000000003,1
BESC-35-1,BESC-35,1,2019,0,1,NA,NA,NA,21.8,1
BESC-351-1,BESC-351,1,2010,0,0,310.89599999999996,NA,NA,NA,0
BESC-351-1,BESC-351,1,2011,0,0,574.548,10.3,9.9,NA,0
BESC-351-1,BESC-351,1,2012,0,0,810,NA,NA,8.9,0
BESC-351-1,BESC-351,1,2013,0,0,1010,NA,NA,13,0
BESC-351-1,BESC-351,1,2014,0,0,NA,NA,NA,16.400000000000002,0
BESC-351-1,BESC-351,1,2015,0,0,NA,NA,NA,17.1,0
BESC-351-1,BESC-351,1,2016,0,0,NA,NA,NA,19.8,0
BESC-351-1,BESC-351,1,2018,0,0,NA,NA,NA,21.700000000000003,0
BESC-351-1,BESC-351,1,2019,0,0,NA,NA,NA,22.8,0
BESC-36-1,BESC-36,1,2010,0,0,324.91679999999997,NA,NA,NA,1
BESC-36-1,BESC-36,1,2011,0,0,623.6208,10.8,8.8,NA,1
BESC-36-1,BESC-36,1,2012,1,0,870,NA,NA,9.7536,1
BESC-36-1,BESC-36,1,2013,0,1,220.00000000000003,2,NA,NA,1
BESC-36-1,BESC-36,1,2014,0,1,NA,NA,NA,0.7000000000000001,1
BESC-36-1,BESC-36,1,2015,0,1,420,NA,NA,2.5,1
BESC-36-1,BESC-36,1,2016,0,1,NA,NA,NA,6.5,1
BESC-36-1,BESC-36,1,2018,0,1,NA,NA,NA,9.5,1
BESC-36-1,BESC-36,1,2019,0,1,NA,NA,NA,10,1
BESC-388-1,BESC-388,1,2010,0,0,143.256,NA,NA,NA,0
BESC-388-1,BESC-388,1,2011,0,0,314.5536,5.2,4.1000000000000005,NA,0
BESC-388-1,BESC-388,1,2012,0,0,520,NA,NA,3.9,0
BESC-388-1,BESC-388,1,2013,0,0,760,NA,NA,8.5,0
BESC-388-1,BESC-388,1,2014,0,0,NA,NA,NA,11.4,0
BESC-388-1,BESC-388,1,2015,0,0,NA,NA,NA,12.3,0
BESC-388-1,BESC-388,1,2016,0,0,NA,NA,NA,15.5,0
BESC-388-1,BESC-388,1,2018,0,0,NA,NA,NA,15,0
BESC-388-1,BESC-388,1,2019,0,0,NA,NA,NA,16,0
BESC-833-1,BESC-833,1,2010,0,0,284.0736,NA,NA,NA,1
BESC-833-1,BESC-833,1,2011,0,0,571.8048,8,7.300000000000001,NA,1
BESC-833-1,BESC-833,1,2012,1,0,815,NA,NA,7.975600000000001,1
BESC-833-1,BESC-833,1,2013,0,1,310,2.3000000000000003,NA,NA,1
BESC-833-1,BESC-833,1,2014,0,1,NA,NA,NA,5.4,1
BESC-833-1,BESC-833,1,2015,0,1,930,NA,NA,8.5,1
BESC-833-1,BESC-833,1,2016,0,1,NA,NA,NA,13,1
BESC-833-1,BESC-833,1,2018,0,1,NA,NA,NA,18.7,1
BESC-833-1,BESC-833,1,2019,0,1,NA,NA,NA,20.3,1
BESC-841-1,BESC-841,1,2010,0,0,182.88,NA,NA,NA,0
BESC-841-1,BESC-841,1,2011,0,0,378.2568,5,4.7,NA,0
BESC-841-1,BESC-841,1,2012,0,0,670,NA,NA,4.9,0
BESC-841-1,BESC-841,1,2013,0,0,1000,NA,NA,8.700000000000001,0
BESC-841-1,BESC-841,1,2014,0,0,NA,NA,NA,12.2,0
BESC-841-1,BESC-841,1,2015,0,0,NA,NA,NA,14.6,0
BESC-841-1,BESC-841,1,2016,0,0,NA,NA,NA,17.400000000000002,0
BESC-841-1,BESC-841,1,2018,0,0,NA,NA,NA,20.5,0
BESC-841-1,BESC-841,1,2019,0,0,NA,NA,NA,22,0
BESC-876-1,BESC-876,1,2010,0,0,151.7904,NA,NA,NA,1
BESC-876-1,BESC-876,1,2011,0,0,221.2848,5.5,4.3,NA,1
BESC-876-1,BESC-876,1,2012,1,0,615,NA,NA,5.435600000000002,1
BESC-876-1,BESC-876,1,2013,0,1,280,3.1,NA,NA,1
BESC-876-1,BESC-876,1,2014,0,1,NA,NA,NA,5.4,1
BESC-876-1,BESC-876,1,2015,0,1,1010,NA,NA,8.8,1
BESC-876-1,BESC-876,1,2016,0,1,NA,NA,NA,14.1,1
BESC-876-1,BESC-876,1,2018,0,1,NA,NA,NA,21.8,1
BESC-876-1,BESC-876,1,2019,0,1,NA,NA,NA,24.5,1
BESC-897-1,BESC-897,1,2010,0,0,278.5872,NA,NA,NA,0
BESC-897-1,BESC-897,1,2011,0,0,556.26,8.5,7.2,NA,0
BESC-897-1,BESC-897,1,2012,0,0,790,NA,NA,8.1,0
BESC-897-1,BESC-897,1,2013,0,0,980,NA,NA,12.3,0
BESC-897-1,BESC-897,1,2014,0,0,NA,NA,NA,16.2,0
BESC-897-1,BESC-897,1,2015,0,0,NA,NA,NA,18.8,0
BESC-897-1,BESC-897,1,2016,0,0,NA,NA,NA,23.8,0
BESC-897-1,BESC-897,1,2018,0,0,NA,NA,NA,27.4,0
