ord,tree,genotype,block,Depth,latitude,longitude,cop_id,height,dbh,agb,root_CN,Lig,BD,Sand,Clay,Silt,SiCl,pH_soil,CEC,base_sat,POMC,MAOMC,TotC,TotC_30,POMC_st,MAOMC_st,TotC_st,TotC_st_30,POM_CN,MAOM_CN,soil_CN,C_chk_rel,C_chk_id,Al_ppm_root,Al_ppm_soil,Al_ppm_diff,B_ppm_root,Cu_ppm_root,Cu_ppm_soil,Cu_ppm_diff,Fe_ppm_root,Fe_ppm_soil,Fe_ppm_diff,Mn_ppm_root,Mn_ppm_soil,Mn_ppm_diff,Na_ppm_root,Na_ppm_soil,Na_ppm_diff,Ni_ppm_root,Ni_ppm_soil,Ni_ppm_diff,Zn_ppm_root,Zn_ppm_soil,Zn_ppm_diff,pCa_root,pCa_soil,pCa_diff,pK_root,pK_soil,pK_diff,pMg_root,pMg_soil,pMg_diff,pP_root,Cr_ppm,pPOM,pP_soil,pP_diff,pS_root
15,BESC-144-2,BESC-144,2,15,46.120936,-123.270194,Non-coppiced,1380,33.7,16.785801365890396,57.19426048565121,33.34,0.8168545429851962,0.7999999999999972,43.400000000000006,55.8,99.2,5.21,29.8704602154404,55.0595273618817,5.72,37.24,49.900000000000006,46.60372506554201,7.008611978812984,45.62949477115306,61.14156254244194,104.115462447372,19.724137931034484,12.169934640522877,13.306666666666667,-13.907815631262533,Good,3171.3,1.17355,3170.12645,13.679,27.316,5.70025,21.61575,3149.81,304.072,2845.738,1283.54,93.03405,1190.50595,210.626,49.91885,160.70715,13.656,2.5733,11.0827,90.124,7.70025,82.42375,0.95491,0.256554975,0.698355025,0.40597,0.014517015000000001,0.391452985,0.12177,0.03635419,0.08541581000000001,0.10195,56.992,11.462925851703405,0.014654845,0.087295155,0.12405
16,BESC-144-3,BESC-144,3,15,46.121564,-123.272117,Coppiced,430,22,6.057860092827217,76.81148748159058,27.72,0.8706369686269185,2.8499999999999943,41.650000000000006,55.5,97.15,5.54,22.5724553885173,66.8369618140523,7.3343848580432836,40.62442011504905,56.266666666666666,58.17547139542919,9.578379899324965,53.05368297178908,73.48176015211192,160.06748268368872,20.666024818740155,12.489863860885304,13.916178475645196,-14.765157038343006,Good,2316.99,1.52985,2315.46015,11.442,12.764,4.26555,8.498449999999998,2107.65,219.31845,1888.33155,157.115,65.67115,91.44385000000001,229.561,32.6608,196.9002,8.272,2.1089,6.1631,60.713,7.88175,52.83125,1.12885,0.228192945,0.9006570549999999,0.25014,0.024434855,0.22570514499999997,0.10344,0.034902695,0.068537305,0.05502,43.033,13.03504417898688,0.01047583,0.04454417,0.09431
17,BESC-145-1,BESC-145,1,15,46.121542,-123.268644,Coppiced,910,22,6.2167768431973744,106.76309523809523,22.72,0.8716216216216216,4.1000000000000085,40.900000000000006,54.999999999999986,95.89999999999999,5.33,27.9947864177815,61.0411887512293,7.81340273040413,30.489443054818683,45.63333333333333,29.216666666666665,10.21549613738648,39.86288669667172,59.6625,76.39763513513513,24.24950054193701,12.18254012685865,13.817257894992528,-16.063887979789303,Good,1870,0.3962,1869.6038,11.332,21.064,5.0639,16.0001,2317.79,354.0314,1963.7586,244.554,115.14125,129.41275000000002,212.929,34.148,178.781,7.164,2.51455,4.64945,56.238,5.2612,50.9768,1.58747,0.254153585,1.3333164149999999,0.62776,0.028348545000000003,0.599411455,0.12098,0.04206379,0.07891621000000001,0.10199,37.304,17.122138927109123,0.01071446,0.09127554,0.15131
18,BESC-145-2,BESC-145,2,15,46.120803,-123.270744,Non-coppiced,1360,23.5,7.0523213884447955,79.48435171385991,38.53,0.6462039929376613,2.8499999999999943,50.90000000000001,46.24999999999999,97.15,5.09,28.6471734568004,55.954321221158,10.76,53.69,79.1,71.19420270593551,10.429732446013855,52.04203857123455,76.67210376205351,136.41164097514599,21.959183673469386,14.166226912928758,15.419103313840155,-18.52085967130214,Good,2517.54,1.8489,2515.6911,11.274,23.896,5.3986,18.4974,2949.2,326.5668,2622.6331999999998,435.243,56.9309,378.3121,422.302,66.35485,355.94715,6.73,3.144,3.5860000000000003,63.002,5.19815,57.803850000000004,0.90582,0.24034908,0.66547092,0.34631,0.00888099,0.33742901000000003,0.13027,0.041947925,0.088322075,0.08056,17.152,13.603034134007586,0.009919585,0.07064041500000001,0.13143
19,BESC-145-3,BESC-145,3,15,46.121189,-123.271639,Non-coppiced,840,26.4,9.330321294039194,89.00172711571675,26.24,1.1407714246910228,0,39.650000000000006,60.79999999999998,100.44999999999999,5.56,28.1164401142698,72.1663767952323,6.88,20.43,33.8,26.848048852169935,11.772761102811355,34.95894030965639,57.837111231834854,83.74655031916339,23.724137931034484,10.266331658291458,12.426470588235293,-19.20118343195266,Good,2483.78,0.65785,2483.12215,13.029,17.211,5.46805,11.742949999999999,3323.29,311.6678,3011.6222,147.439,132.50115,14.937849999999997,268.391,51.2717,217.1193,5.675,2.5628,3.1121999999999996,57.657,10.9703,46.686699999999995,1.18731,0.312392695,0.8749173050000001,0.32862,0.012763355,0.31585664500000005,0.11805,0.049449545,0.068600455,0.0721,127.95,20.355029585798817,0.013817349999999999,0.05828265,0.10682
20,BESC-192-1,BESC-192,1,15,46.120889,-123.269003,Non-coppiced,920,28.8,11.502625553090017,54.14611398963731,32.8,0.9151500746978134,0,37.150000000000006,63.749999999999986,100.89999999999999,4.82,34.6105452329989,50.3527150921132,5.967355495657256,18.9825733752621,32.266666666666666,27.6754001493458,8.191538741398718,26.057855163491745,44.293263615374165,72.35756485128344,25.46948248111363,9.74225126611834,12.189715237910054,-22.67584027607638,Good,2105.98,0.35555,2105.62445,11.318,30.835,4.75205,26.08295,1659.73,239.36635,1420.36365,101.364,83.94285,17.421149999999997,191.803,43.0857,148.7173,7.119,1.951,5.167999999999999,69.229,6.999,62.23,1.07927,0.27770102,0.8015689799999999,0.4585,0.013222655,0.44527734500000005,0.11113,0.03619112,0.07493888000000001,0.11996,27.854,18.493870337780752,0.01489204,0.10506796,0.13909
21,BESC-192-2,BESC-192,2,15,46.121594,-123.270758,Non-coppiced,850,25.6,8.664621372346724,66.32030264817149,38.94,0.6291253565122913,4.1000000000000085,42.15000000000001,53.74999999999998,95.89999999999999,4.83,31.5609175108696,43.93092027852,7.313711533016758,63.71562047637863,90.76666666666667,76.03145606351919,6.901862063455837,60.12766867140533,85.65541728914846,145.01015041423335,23.93769036882397,14.998724245211177,16.169038368786747,-21.745135501951463,Good,2358.38,5.08955,2353.29045,9.427,19.027,5.23975,13.78725,1640.17,294.71055,1345.45945,277.987,42.826,235.16100000000003,128.863,57.76755,71.09545,5.461,2.5161,2.9449000000000005,56.769,7.41375,49.35525,0.5835,0.218891815,0.36460818500000003,0.29767,0.00946959,0.28820040999999996,0.07966,0.02911725,0.05054275,0.07653,23.727,8.057706426386439,0.012060675,0.064469325,0.10352
22,BESC-192-3,BESC-192,3,15,46.121469,-123.271817,Non-coppiced,750,25.9,8.910886983356168,71.5597667638484,28.03,1.1854203449680838,4.1000000000000085,48.40000000000001,47.49999999999998,95.89999999999999,5.35,25.0194481262542,66.9900392753528,3.2640092432119023,19.529165658570676,26.86666666666667,26.083412521258506,5.803834444600901,34.725405437882564,47.77243990221378,83.31955215265518,18.781302756166596,9.517849002128012,10.23172755381161,-15.161880018179003,Good,3407.6,0.23025,3407.36975,11.444,14.286,4.84005,9.44595,3886.15,237.53815,3648.6118500000002,134.873,118.7479,16.12509999999999,147.902,39.2606,108.64139999999999,9.223,2.24155,6.981450000000001,48.231,7.07625,41.15475,0.71734,0.25416843,0.46317157,0.33266,0.01669036,0.31596964,0.13217,0.041441525,0.090728475,0.0697,62.709,12.148917778704348,0.015546289999999999,0.05415371,0.08522
23,BESC-2-1,BESC-2,1,15,46.121414,-123.268897,Coppiced,1020,21.6,5.768482458368036,52.081592039801,20.49,0.8052763819095479,0,40.48036027020265,60.845634225669244,101.3259944958719,5.16,26.400436673913,65.9633508680592,3.75,21.9,26.817710080047025,28.905938064902564,4.529679648241207,26.453329145728645,32.39350281653922,66.69898971046833,20.833333333333336,10.528846153846153,11.509746815470823,-4.354249772115438,Good,1409.22,1.08865,1408.13135,10.526,19.087,3.9695,15.1175,1682.21,380.28875,1301.92125,136.395,105.1526,31.242400000000004,207.878,37.99765,169.88035,4.405,2.4871,1.9179000000000004,71.467,7.0892,64.3778,0.9053,0.26960446,0.63569554,0.80489,0.03304366,0.77184634,0.09844,0.03506291,0.06337709,0.10703,16.273,13.98329681694219,0.013679225,0.093350775,0.13197
24,BESC-2-2,BESC-2,2,15,46.121371999999994,-123.270208,Non-coppiced,1140,20,4.784714265722171,64.65822784810126,31.89,0.6718389243514872,0.5737091544026072,47.04415066101272,52.38214018458467,99.42629084559739,4.92,31.2624743302676,53.6927248717997,7.21,60.53,89.29898836522261,79.74895182333769,7.265937966861334,60.999615136493276,89.99180443345068,151.77131006974025,18.025,14.872235872235871,16.08990781355362,-24.142477714359796,Good,2238.6,3.81445,2234.78555,8.226,21.451,5.72705,15.72395,1955.62,452.6919,1502.9280999999999,94.165,46.8054,47.35960000000001,305.085,56.44055,248.64444999999998,6.597,2.88515,3.7118500000000005,40.296,5.4392,34.8568,0.69846,0.26000675500000003,0.43845324499999994,0.36523,0.01020716,0.35502284,0.08032,0.03933865,0.04098135,0.07925,8.535,8.073999640972334,0.013437295,0.065812705,0.1239
