ord,tree,genotype,block,Depth,latitude,longitude,Row,Column,Trait,BD,MCwetBD,MCdryBD,MCwetCHEM,MCdryCHEM,pH,Sand,Clay,Silt,POMpN,POMpC,MAOMpN,MAOMpC,POMN,POMC,MAOMN,MAOMC,TotpN,TotpC,TotC,pCa,pK,pMg,pP,pC,pN,pS,Lig,Alppm,Bppm,Crppm,Cuppm,Feppm,Mnppm,Nappm,Nippm,Znppm,root_CN,agb,cop_id,height,TotC_st,MAOMC_st,POMC_st,pMAOM,pPOM,MAOM_POM,TotC_agb,MAOM_CN,POM_CN,soil_CN,C_chk,C_chk_abs,C_chk_rel,C_chk_id,TotC_st_30,TotC_30
1,BESC-102-1,BESC-102,1,15,46.121497,-123.268847,18,8,HF,0.8840146679342659,0.3735774607222771,0.5963665693654941,0.41999999999999993,0.7241379310344825,5.106,0,45.900000000000006,55.749999999999986,0.8930000000000002,19.61,0.313,4.05,0.53,11.56,3.05,39.52,0.406,6.04,60.4,0.71988,0.43521,0.15765,0.07964,47.489,0.955,0.08403,26.58,7378.17,16.35,73.565,15.167,6213.76,152.445,285.622,7.073,55.162,49.726701570680625,5.374591944077967,Coppiced,930,80.0917289148445,52.40438951514328,15.328814341980172,65.43046357615894,19.13907284768212,3.4186851211072664,11.2380624665938,12.95737704918033,21.81132075471698,14.876847290640393,15.430463576158928,-9.319999999999993,-15.430463576158928,Good,99.32942245008829,44.21546849849237
2,BESC-102-2,BESC-102,2,15,46.121142,-123.270561,61,21,HF,0.6193467336683417,0.4093322971310148,0.6929992873197741,0.43400000000000005,0.76678445229682,5.089,7.849999999999994,45.150000000000006,47,0.8050634630594267,16.53,0.298,3.4,0.4,9.36559350870312,2.83,52.9718707651,0.526,7.636666666666666,76.36666666666666,0.8155,0.36465,0.12897,0.10552,51.277,1.017,0.11408,32.71,5044.21,11.643,54.669,21.753,3243.34,283.393,307.614,9.595,73.663,50.419862340216326,3.864154206112069,Non-coppiced,1000,70.94616834170854,49.21193270199931,8.70082462272105,69.36517341567003,12.263981024054718,5.656007888434949,19.762841386059286,18.717975535371025,23.413983771757795,14.518377693282634,18.37084556027526,-14.029202392863539,-18.37084556027526,Good,132.2236944859432,70.85998598904598
3,BESC-102-3,BESC-102,3,15,46.121067,-123.27178899999998,92,22,HF,0.7910837973652045,0.3241181248549548,0.4795484784754711,0.352,0.5432098765432097,5.7,8.39079607936886,38.2060004781258,51.2032034425054,0.641937000572722,13.3,0.399,5.64,0.37,7.59,3.68,51.99,0.385,5.35,53.5,0.75848,0.6104,0.19529,0.14161,44.073,1.107,0.10951,24.03,8403.85,16.98,256.507,23.006,8770,165.941,335.891,15.061,51.25,39.8130081300813,8.027528780456063,Non-coppiced,710,63.48447473855765,61.69266993752548,9.006489033002854,97.17757009345794,14.186915887850468,6.849802371541502,6.664566576235998,14.127717391304348,20.513513513513512,13.896103896103895,11.364485981308409,6.079999999999998,11.364485981308409,Good,104.23234754855358,42.84569358958256
4,BESC-119-1,BESC-119,1,15,46.121625,-123.268506,9,4,HSG,0.8169903571913623,0.3625428603030638,0.5687329197935193,0.3459999999999999,0.5290519877675839,5.706,0,37.90262172284645,62.87141073657929,0.5610000000000002,11.57,0.28,3.39,0.34,7.07,2.65,32.04,0.3320000000000001,4.243181438689318,42.43181438689318,0.90493,0.71556,0.09802,0.11765,51.781,0.997,0.11546,35.71,2109.76,11.844,14.033,24.694,1833.12,149.316,107.555,4.876,57.833,51.93681043129388,3.344783984083462,Coppiced,720,51.99957478833816,39.26455656661687,8.664182738014398,75.50938007943606,16.662026128639603,4.5318246110325315,12.68596554779317,12.090566037735849,20.794117647058822,12.780666984003966,7.8285937919243445,-3.3218143868931804,-7.8285937919243445,Good,72.03719532344613,29.87677575466655
5,BESC-131-1,BESC-131,1,15,46.121186,-123.268422,6,20,LSG,0.7943093847616461,0.38928627369080565,0.6374284004445585,0.366,0.5772870662460569,5.454,3.8832550086569313,38.783081869898595,57.333663121444474,0.6490000000000001,12.98,0.36600000000000005,4.99,0.39,7.85,3.54,48.31,0.4460000000000001,6.785570041400381,67.8557004140038,0.64087,0.33447,0.06985,0.08973,53.107,0.939,0.10276,25.55,2443.64,10.979,53.096,28.368,2629.39,170.083,129.5,7.14,49.091,56.556975505857295,2.2288054295196456,Coppiced,730,80.84762947262692,57.5596295667527,9.352993005568383,71.19519761088483,11.568666968442265,6.154140127388535,30.44487397387045,13.646892655367232,20.128205128205128,15.214282604036724,17.23613542067291,-11.695700414003802,-17.23613542067291,Good,156.2459861207323,67.3421251972343
6,BESC-131-2,BESC-131,2,15,46.120867,-123.270444,57,31,LSG,0.701819910362624,0.41750035226151894,0.7167392356071601,0.4,0.6666666666666666,5.579,7.1801242236024905,41.88819875776398,50.93167701863353,0.8160000000000002,18.11,0.39800000000000013,5.71,0.41,9.15,3.83,54.95,0.4970000000000001,7.552125670021818,75.52125670021817,0.63574,0.3465,0.10121,0.09406,52.093,0.977,0.10809,37.24,2502.82,9.928,19.896,39.533,1375.17,149.925,156.146,8.133,72.11,53.31934493346981,6.980348377189824,Non-coppiced,1290,79.50348241172976,57.84750611163929,9.632478269727015,72.76097141513968,12.115794148289865,6.005464480874317,10.8191242928511,14.347258485639687,22.31707317073171,15.195423883343695,15.123234436570455,-11.421256700218166,-15.123234436570455,Good,120.22659798961922,65.37996942318478
7,BESC-131-3,BESC-131,3,15,46.120785999999995,-123.272211,102,32,LSG,0.8510457693874779,0.34877497466808705,0.5355675244364653,0.3380000000000001,0.5105740181268884,5.311,9.691420828785425,42.73703639579961,47.57154277541496,0.394391305533586,7.18,0.3810000000000001,5.2,0.29,5.34,3.62,49.4,0.4490000000000001,6.663035490806676,66.63035490806676,0.92304,0.33967,0.10522,0.06242,51.732,0.688,0.08309,36.43,3820.98,11.537,71.109,24.719,2538.57,88.533,304.988,9.172,53.832,75.19186046511628,5.280327232225427,Coppiced,600,85.05822248594458,63.06249151161211,6.816876612793697,74.14038251508588,8.01436523543641,9.250936329588015,12.618603351214084,13.646408839779005,18.413793103448278,14.839722696674107,17.845252249477713,-11.890354908066769,-17.845252249477713,Good,138.25288668531982,55.9285756092528
8,BESC-133-1,BESC-133,1,15,46.121269,-123.269267,28,16,LPCA,0.6188374303952194,0.39558945448516,0.6545045539339404,0.34800000000000003,0.5337423312883437,5.366,0,43.400000000000006,56.75,0.5497775111135353,10.2,0.328,4.28,0.19,3.55,3.19,41.59,0.391,5.51,55.099999999999994,0.99962,0.39281,0.1021,0.10997,53.064,0.888,0.12806,36.14,2603.71,12.659,19.289,43.761,3284.72,295.736,234.442,10.102,54.246,59.75675675675676,8.027528780456063,Non-coppiced,1070,51.14691362216489,38.60617309520576,3.2953093168545435,75.480943738657,6.442831215970962,11.71549295774648,6.86388071683371,13.037617554858935,18.684210526315788,14.092071611253196,18.07622504537204,-9.959999999999994,-18.07622504537204,Good,96.3366189053375,49.092587594082524
9,BESC-133-2,BESC-133,2,15,46.121514000000005,-123.270581,62,7,LPCA,0.6073950835257368,0.44033913152296333,0.7867963553021411,0.42685370741482964,0.7447552447552447,5.269,4.1000000000000085,29.15000000000001,66.74999999999999,0.643121062535795,12.95,0.43,6.255,0.39,7.86,4.05,58.98,0.558,8.83,88.3,0.62604,0.41372,0.10569,0.10787,51.31,1.239,0.12716,37.29,2695.68,9.01,26.68,35.338,2280.02,150.587,277.112,7.195,54.82,41.41242937853107,4.959182288186627,Non-coppiced,1020,80.44947881298384,53.73624303952194,7.161188034768438,66.79501698754247,8.901472253680636,7.5038167938931295,17.80535476793045,14.562962962962963,20.153846153846153,15.82437275985663,24.30351075877689,-21.459999999999994,-24.30351075877689,Good,143.26600740187425,72.77521279072776
10,BESC-133-3,BESC-133,3,15,46.121417,-123.271817,93,10,LPCA,0.8146136085834579,0.30790976749552884,0.4448982994331446,0.316,0.4619883040935673,5.308,1.5999999999999943,37.150000000000006,61.25,0.4631655712220798,9.56,0.183,1.87,0.19,3.87,1.77,18.06,0.231,2.73,27.3,1.13586,0.34179,0.13598,0.0795,52.644,0.788,0.11074,31.62,1907.17,12.055,21.584,20.288,2239.81,158.976,526.062,5.188,62.981,66.80710659898476,12.68947140102948,Non-coppiced,720,33.3584272714926,22.067882656525875,4.7288319978269735,66.15384615384615,14.175824175824175,4.666666666666666,2.151389852045783,10.203389830508474,20.36842105263158,11.818181818181818,19.67032967032967,-5.370000000000001,-19.67032967032967,Good,62.30942550590792,23.83867812396485
