curated_name
abaxial_stomatal_density
early_wood_vessel_count
early_wood_total_vessel_area
early_wood_average_vessel_size
early_wood_vessel_area_proportion
intermediate_wood_vessel_count
intermediate_wood_total_vessel_area
intermediate_wood_average_vessel_size
intermediate_wood_vessel_area_proportion
late_wood_vessel_count
late_wood_total_vessel_area
late_wood_average_vessel_size
late_wood_vessel_area_proportion
leaf_dry_weight
leaf_spad
leaf_wet_weight
petiole_length
petiole_maximum_diameter
petiole_minimum_diameter
leaf_area
leaf_perimeter
leaf_circularity
leaf_length
leaf_width
leaf_aspect_ratio
specific_leaf_area
total_leaf_thickness
palisade_layer_thickness
paraveinal_layer_thickness
spongy_layer_thickness
height
diameter_at_20_cm
diameter_at_50_cm
branch_angle
diameter_to_height_ratio
stem_volume
crown_biomass
diameter_at_breast_height
sylleptic_branches
coppice_height
stem_biomass
total_biomass
melampsora_infection
vole_damage
bud_break
venturia_leaf_blight
stem_number
diameter_at_10_cm
lenticle_number
stem_fresh_weight
stem_fresh_volume
branch_fresh_weight
stem_weight_to_volume_ratio
