genotype	site	year	block	row	col	curated_name	value_curated	corrected_units	tree_id	coppice_year	coppice_number
GW-11026	cla	2010	2	47	9	height	298.704	cm	cla_2_47_9	0	0
BESC-388	cla	2010	2	50	4	height	244.14479999999998	cm	cla_2_50_4	0	0
GW-9776	cla	2010	2	50	9	height	342.9	cm	cla_2_50_9	0	0
BESC-119	cla	2010	2	50	15	height	219.45600000000002	cm	cla_2_50_15	0	0
BESC-319	cla	2010	2	50	22	height	345.0336	cm	cla_2_50_22	0	0
BESC-144	cla	2010	2	51	29	height	358.14000000000004	cm	cla_2_51_29	0	0
BESC-2	cla	2010	2	52	12	height	265.4808	cm	cla_2_52_12	0	0
SLMC-28-2	cla	2010	2	52	25	height	238.9632	cm	cla_2_52_25	0	0
BESC-876	cla	2010	2	53	30	height	307.848	cm	cla_2_53_30	0	0
BESC-351	cla	2010	2	54	28	height	289.56	cm	cla_2_54_28	0	0
GW-9854	cla	2010	2	55	27	height	152.4	cm	cla_2_55_27	0	0
BESC-131	cla	2010	2	57	31	height	329.184	cm	cla_2_57_31	0	0
BESC-102	cla	2010	2	61	21	height	396.24	cm	cla_2_61_21	0	0
BESC-265	cla	2010	2	61	22	height	371.856	cm	cla_2_61_22	0	0
BESC-133	cla	2010	2	62	7	height	310.89599999999996	cm	cla_2_62_7	0	0
BESC-145	cla	2010	2	65	33	height	399.28799999999995	cm	cla_2_65_33	0	0
BESC-192	cla	2010	2	67	4	height	350.52	cm	cla_2_67_4	0	0
BESC-131	cla	2011	1	6	20	diameter_at_20_cm	10.5	cm	cla_1_6_20	0	0
BESC-119	cla	2011	1	9	4	diameter_at_20_cm	5.5	cm	cla_1_9_4	0	0
BESC-145	cla	2011	1	12	6	diameter_at_20_cm	6.2	cm	cla_1_12_6	0	0
BESC-876	cla	2011	1	12	16	diameter_at_20_cm	5.5	cm	cla_1_12_16	0	0
BESC-319	cla	2011	1	12	17	diameter_at_20_cm	5	cm	cla_1_12_17	0	0
BESC-833	cla	2011	1	12	19	diameter_at_20_cm	8	cm	cla_1_12_19	0	0
BESC-35	cla	2011	1	12	22	diameter_at_20_cm	7.5	cm	cla_1_12_22	0	0
BESC-36	cla	2011	1	13	30	diameter_at_20_cm	10.8	cm	cla_1_13_30	0	0
BESC-144	cla	2011	1	14	27	diameter_at_20_cm	13.5	cm	cla_1_14_27	0	0
BESC-102	cla	2011	1	18	8	diameter_at_20_cm	7.9	cm	cla_1_18_8	0	0
BESC-2	cla	2011	1	19	12	diameter_at_20_cm	6.4	cm	cla_1_19_12	0	0
BESC-192	cla	2011	1	21	31	diameter_at_20_cm	5.9	cm	cla_1_21_31	0	0
GW-11026	cla	2011	1	22	26	diameter_at_20_cm	11.3	cm	cla_1_22_26	0	0
BESC-388	cla	2011	1	25	34	diameter_at_20_cm	5.2	cm	cla_1_25_34	0	0
SLMC-28-2	cla	2011	1	27	8	diameter_at_20_cm	9.8	cm	cla_1_27_8	0	0
BESC-351	cla	2011	1	27	10	diameter_at_20_cm	10.3	cm	cla_1_27_10	0	0
GW-9776	cla	2011	1	27	27	diameter_at_20_cm	8.3	cm	cla_1_27_27	0	0
BESC-133	cla	2011	1	28	16	diameter_at_20_cm	7.6000000000000005	cm	cla_1_28_16	0	0
BESC-897	cla	2011	1	29	17	diameter_at_20_cm	8.5	cm	cla_1_29_17	0	0
BESC-841	cla	2011	1	34	24	diameter_at_20_cm	5	cm	cla_1_34_24	0	0
BESC-265	cla	2011	1	35	9	diameter_at_20_cm	10.700000000000001	cm	cla_1_35_9	0	0
BESC-13	cla	2011	1	35	33	diameter_at_20_cm	2.7	cm	cla_1_35_33	0	0
GW-9854	cla	2011	1	35	34	diameter_at_20_cm	3.6	cm	cla_1_35_34	0	0
BESC-35	cla	2011	2	36	14	diameter_at_20_cm	9.600000000000001	cm	cla_2_36_14	0	0
BESC-13	cla	2011	2	39	29	diameter_at_20_cm	9.3	cm	cla_2_39_29	0	0
BESC-897	cla	2011	2	40	15	diameter_at_20_cm	11	cm	cla_2_40_15	0	0
BESC-36	cla	2011	2	42	9	diameter_at_20_cm	6.800000000000001	cm	cla_2_42_9	0	0
BESC-833	cla	2011	2	42	16	diameter_at_20_cm	12.100000000000001	cm	cla_2_42_16	0	0
BESC-841	cla	2011	2	43	26	diameter_at_20_cm	8	cm	cla_2_43_26	0	0
GW-9768	cla	2011	2	44	3	diameter_at_20_cm	7.5	cm	cla_2_44_3	0	0
GW-11026	cla	2011	2	47	9	diameter_at_20_cm	8.200000000000001	cm	cla_2_47_9	0	0
BESC-388	cla	2011	2	50	4	diameter_at_20_cm	8.6	cm	cla_2_50_4	0	0
GW-9776	cla	2011	2	50	9	diameter_at_20_cm	10	cm	cla_2_50_9	0	0
BESC-119	cla	2011	2	50	15	diameter_at_20_cm	8.4	cm	cla_2_50_15	0	0
BESC-319	cla	2011	2	50	22	diameter_at_20_cm	9.5	cm	cla_2_50_22	0	0
BESC-144	cla	2011	2	51	29	diameter_at_20_cm	13.3	cm	cla_2_51_29	0	0
BESC-2	cla	2011	2	52	12	diameter_at_20_cm	8.5	cm	cla_2_52_12	0	0
SLMC-28-2	cla	2011	2	52	25	diameter_at_20_cm	8.9	cm	cla_2_52_25	0	0
BESC-876	cla	2011	2	53	30	diameter_at_20_cm	10.100000000000001	cm	cla_2_53_30	0	0
BESC-351	cla	2011	2	54	28	diameter_at_20_cm	9.5	cm	cla_2_54_28	0	0
GW-9854	cla	2011	2	55	27	diameter_at_20_cm	6.5	cm	cla_2_55_27	0	0
BESC-131	cla	2011	2	57	31	diameter_at_20_cm	10.100000000000001	cm	cla_2_57_31	0	0
BESC-102	cla	2011	2	61	21	diameter_at_20_cm	8.9	cm	cla_2_61_21	0	0
BESC-265	cla	2011	2	61	22	diameter_at_20_cm	10.700000000000001	cm	cla_2_61_22	0	0
BESC-133	cla	2011	2	62	7	diameter_at_20_cm	9.5	cm	cla_2_62_7	0	0
BESC-145	cla	2011	2	65	33	diameter_at_20_cm	10.700000000000001	cm	cla_2_65_33	0	0
BESC-192	cla	2011	2	67	4	diameter_at_20_cm	12.200000000000001	cm	cla_2_67_4	0	0
BESC-131	cla	2011	1	6	20	diameter_at_50_cm	8.1	cm	cla_1_6_20	0	0
BESC-119	cla	2011	1	9	4	diameter_at_50_cm	4.9	cm	cla_1_9_4	0	0
BESC-145	cla	2011	1	12	6	diameter_at_50_cm	5.5	cm	cla_1_12_6	0	0
BESC-876	cla	2011	1	12	16	diameter_at_50_cm	4.3	cm	cla_1_12_16	0	0
BESC-319	cla	2011	1	12	17	diameter_at_50_cm	3.3000000000000003	cm	cla_1_12_17	0	0
BESC-833	cla	2011	1	12	19	diameter_at_50_cm	7.300000000000001	cm	cla_1_12_19	0	0
BESC-35	cla	2011	1	12	22	diameter_at_50_cm	6.7	cm	cla_1_12_22	0	0
BESC-36	cla	2011	1	13	30	diameter_at_50_cm	8.8	cm	cla_1_13_30	0	0
BESC-144	cla	2011	1	14	27	diameter_at_50_cm	12	cm	cla_1_14_27	0	0
BESC-102	cla	2011	1	18	8	diameter_at_50_cm	5	cm	cla_1_18_8	0	0
BESC-2	cla	2011	1	19	12	diameter_at_50_cm	5.9	cm	cla_1_19_12	0	0
BESC-192	cla	2011	1	21	31	diameter_at_50_cm	5.300000000000001	cm	cla_1_21_31	0	0
GW-11026	cla	2011	1	22	26	diameter_at_50_cm	8.3	cm	cla_1_22_26	0	0
BESC-388	cla	2011	1	25	34	diameter_at_50_cm	4.1000000000000005	cm	cla_1_25_34	0	0
SLMC-28-2	cla	2011	1	27	8	diameter_at_50_cm	8.200000000000001	cm	cla_1_27_8	0	0
BESC-351	cla	2011	1	27	10	diameter_at_50_cm	9.9	cm	cla_1_27_10	0	0
GW-9776	cla	2011	1	27	27	diameter_at_50_cm	7.5	cm	cla_1_27_27	0	0
BESC-133	cla	2011	1	28	16	diameter_at_50_cm	6.300000000000001	cm	cla_1_28_16	0	0
BESC-897	cla	2011	1	29	17	diameter_at_50_cm	7.2	cm	cla_1_29_17	0	0
BESC-841	cla	2011	1	34	24	diameter_at_50_cm	4.7	cm	cla_1_34_24	0	0
BESC-265	cla	2011	1	35	9	diameter_at_50_cm	8.700000000000001	cm	cla_1_35_9	0	0
BESC-13	cla	2011	1	35	33	diameter_at_50_cm	1.9	cm	cla_1_35_33	0	0
GW-9854	cla	2011	1	35	34	diameter_at_50_cm	3	cm	cla_1_35_34	0	0
BESC-35	cla	2011	2	36	14	diameter_at_50_cm	8.3	cm	cla_2_36_14	0	0
BESC-13	cla	2011	2	39	29	diameter_at_50_cm	8.4	cm	cla_2_39_29	0	0
BESC-897	cla	2011	2	40	15	diameter_at_50_cm	9.1	cm	cla_2_40_15	0	0
BESC-36	cla	2011	2	42	9	diameter_at_50_cm	6.1000000000000005	cm	cla_2_42_9	0	0
BESC-833	cla	2011	2	42	16	diameter_at_50_cm	10.5	cm	cla_2_42_16	0	0
BESC-841	cla	2011	2	43	26	diameter_at_50_cm	7.5	cm	cla_2_43_26	0	0
GW-9768	cla	2011	2	44	3	diameter_at_50_cm	6.6000000000000005	cm	cla_2_44_3	0	0
GW-11026	cla	2011	2	47	9	diameter_at_50_cm	7.300000000000001	cm	cla_2_47_9	0	0
BESC-388	cla	2011	2	50	4	diameter_at_50_cm	7.5	cm	cla_2_50_4	0	0
GW-9776	cla	2011	2	50	9	diameter_at_50_cm	8.5	cm	cla_2_50_9	0	0
